occupation,rating
Aerobics / Keep Fit Instructor,5
Amusement Arcade,10
Angling Club,3
Art Gallery,3
Aviation Club,10
Badminton Club,6
Bed and Breakfast,3
Bingo Hall,9
Boat Hirer,8
Bowling Club (Green),3
Café (no frying),3
Cafe (with frying),3
Camping Site,3
Caravan Site,3
Casino,10
Caterer (own premises),3
Caterer (third party premises),3
Chef / Cook,3
Children's Entertainer,5
Choreographer,5
Cinema,9
Clay Pigeon Shoot Organiser,4
Climbing Centre,4
Climbing Instructor,9
Combat Games,10
Conference Centre,4
Country Club / House,3
Country Park,5
Cricket Club (not pro),5
Cross Country Course,7
Cycle Tour Organiser,4
Dancing School,5
Equestrian Centre Proprietor,3
Exhibition Centre,5
Falconry,7
Farm Guesthouse Proprietor,3
Fast Food Retailer,5
Fish & Chip Cafes/Restaurants,3
Fishing Lake Proprietor,3
Football Club (not prof'),7
Function Room & Wedding Venue,5
Go-Kart Centre,10
Golf Club,4
Golf Driving Range,4
Greyhound Trainer,7
Groom,3
Guest House (excluding Farm),3
Gun / Shooting Club,10
Gymnasium / Fitness Studio,7
Health Club,7
Hockey Club,7
Holiday Camp,3
Horse Breaker / Trainer,3
Horse Drawn Carriage Prop',3
Hostel (excl Youth Hostel),8
Hotel,3
Hunt,10
Ice Cream Vendor (mobile),9
Ice Rink,9
Internet Café,5
Leisure Centre Proprietor,7
Leisure Park / Fairground,8
Livery Stable Proprietor,7
Livery Stable Proprietor (DIY),7
Magician,5
Mobile / Park Home,3
Mobile Catering (Trailers),5
Motor Racing Organiser,10
Museum,3
Musician - Professional,10
National Association,10
Nature Reserve,5
Night Club,10
Off Road Instructor,10
Outdoor Pursuits Centre / Club,10
Paint Ball Centre / Club,10
Personal Trainer,5
Pigeon Fancier Club,7
Place of Religious Worship,10
Political Party,10
Polo Club,3
Pony Club,7
Public House,3
Puppeteer,5
Quad Bike Farm Trail Prop',9
Racecourse or Track,10
Racehorse Owner,3
Restaurant (Licenced),3
Restaurant (Unlicenced),3
Riding Club,7
Riding Instructor,3
Riding Tuition Client Premises,3
Riding Tuition Own Premises,3
Rough Terrain Veh' Site Prop',9
Rugby Club (not professional),7
Safari Park,10
Sandwich Delivery,4
Sandwich Retailer,3
School Meals Contractor,3
Self Catering Holiday Accom'n,3
Shoot Organiser,4
Shooting Instructor,10
Shooting Syndicate,4
Singer - Professional,10
Skate / Skateboarding Centre,10
Skiing / Winter Sports Centre,10
Slimming Club,3
